title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Human Resources (HR),Jobs Flash Consulting Services,Gurgaon,4 Months," 7,000 /month",Hiring since September 2021,13 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Digital Marketing,Rigil Biotech Private Limited,Delhi,6 Months," 10,000-12,000 /month",Hiring since May 2021,13 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Amazon Web Services (AWS),Digital Marketing,Social Media Marketing",1
Internshala Student Partner,Internshala,Work From Home,6 Weeks,,Hiring since August 2022,2 opportunities posted,"Certificate,Letter of recommendation",,1000
Human Resources (HR),Global Headhunters,Work From Home,6 Months," 10,000-14,000 /month",Hiring since May 2017,177 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","English Proficiency (Spoken),English Proficiency (Written),Recruitment",2
Finance,Times Internet,Noida,6 Months," 15,000-20,000 /month",Hiring since February 2022,54 opportunities posted,Certificate,,1
Business Development (Sales),Decathlon Sports,Ghaziabad,2 Months," 10,000 /month",Hiring since August 2019,8 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",,6
Commercial Operations,BookMyShow,Mumbai,3 Months," 7,500 /month",Hiring since August 2014,374 opportunities posted,"Certificate,Informal dress code,5 days a week","Accounting,English Proficiency (Spoken),English Proficiency (Written),Financial Modeling,MS-Excel,Tally",1
Human Resources (HR),Fabindia Overseas Private Limited,Mumbai,2 Months," 10,000 /month",Hiring since March 2022,10 opportunities posted,"Certificate,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
Digital Marketing,Viacom 18 Media Private Limited,Mumbai,5 Months," 20,000-25,000 /month",Hiring since October 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Digital Marketing,Facebook Marketing,Performance Management System",5
Interior Design,Pepperfry,Gurgaon,3 Months," 50,000 lump sum +  Incentives",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages","3ds Max,Adobe Photoshop,AutoCAD",2
Law/Legal,Larsen & Toubro,Mumbai,6 Months," 5,000-20,000 /month",Hiring since July 2022,4 opportunities posted,"Certificate,Letter of recommendation,Free snacks & beverages",,10
Marketing,Decathlon Sports India,Thane,3 Months," 12,000-14,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Flexible work hours,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Office",8
Human Resources (HR),DCB Bank,Mumbai,3 Months," 7,000 /month",Hiring since December 2019,36 opportunities posted,Certificate,,5
Human Resources (HR),Canara HSBC Life Insurance,Gurgaon,6 Months," 8,000 /month",Hiring since September 2022,3 opportunities posted,"Certificate,Flexible work hours,Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Internal Audit,Cardekho.com,Gurgaon,6 Months," 20,000 /month",Hiring since March 2022,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,2
CRM,Decathlon Sports India,Thane,6 Months," 15,000-30,000 /month",Hiring since December 2021,9 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,10
Marketing Alliances,EazyDiner,Gurgaon,6 Months," 10,000 /month",Hiring since December 2016,90 opportunities posted,,"Digital Marketing,Email Marketing",1
Business Development (Sales),Decathlon,Mumbai,6 Months," 13,000 /month",Hiring since October 2022,3 opportunities posted,"Flexible work hours,5 days a week","Business Analysis,MS-Excel",5
Human Resources (HR),HCL Technologies,Lucknow,3 Months," 3,500-6,000 /month",Hiring since November 2020,20 opportunities posted,Certificate,,5
Social Media Marketing,Nykaa,Bangalore,3 Months," 5,000 /month",Hiring since August 2022,2 opportunities posted,"Letter of recommendation,5 days a week","Creative Writing,Instagram Marketing,Social Media Marketing",2
Business Development (Sales),Times Internet,Delhi,6 Months," 7,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","English Proficiency (Spoken),MS-Excel",2
Machine Learning & Model Building (OCR Tool),IIT Bombay,Work From Home,6 Months," 1,000 /month",Hiring since December 2013,338 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Deep Learning,English Proficiency (Spoken),English Proficiency (Written),Image Processing,Machine Learning,Neural Networks,OpenCV",3
Brand Solutions,Amar Ujala,Ghaziabad,2 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Creative Writing,English Proficiency (Spoken)",2
Internal Audit,Bagzone Lifestyles Private Limited,Mumbai,6 Months," 10,000 /month",Hiring since December 2018,91 opportunities posted,"Certificate,5 days a week",,1
Web Development (Django),IIT Bombay,Work From Home,6 Months," 1,000-2,000 /month",Hiring since December 2013,338 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Bootstrap,Cloud Computing,CSS,Django,HTML,JavaScript,Nginx,PostgreSQL,Postman,Python",1
Marketing,BigBasket,Indore,2 Months," 8,000-15,000 /month",Hiring since November 2022,3 opportunities posted,Certificate,,10
Product Management,BigBasket,Bangalore,6 Months," 15,000 /month",Hiring since November 2022,3 opportunities posted,Certificate,,5
Marketing,BigBasket,Agra,2 Months," 8,000-15,000 /month",Hiring since November 2022,3 opportunities posted,Certificate,,25
Operations,Nykaa Fashion,Mumbai,3 Months," 5,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Informal dress code,5 days a week","English Proficiency (Written),MS-Excel,MS-Word",1
Content Management- WWE,Sportskeeda,Work From Home,3 Months," 15,000 /month",Hiring since January 2019,90 opportunities posted,"Certificate,5 days a week","Content Marketing,Content Writing,Social Media Marketing",3
Video Making/Editing,Decathlon,Bangalore,3 Months," 8,000 /month",Hiring since October 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Final Cut Pro,Video Editing,Video Making",2
Graphic Design,"RP Sanjiv Goenka Group (Open, HELLO! India, & Fortune India)",Delhi,3 Months," 10,000 /month",Hiring since August 2022,3 opportunities posted,"Certificate,Flexible work hours,5 days a week","Adobe After Effects,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Video Editing",2
Digital Marketing,PVR Limited,Gurgaon,3 Months," 15,000 /month",Hiring since June 2022,6 opportunities posted,"Certificate,Flexible work hours,5 days a week","Creative Writing,Digital Marketing,English Proficiency (Written),Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",3
Business Development (Sales),Decathlon Sport India Private Limited,Bangalore,2 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
